date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:08	26480/26480	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:50%20GMT	https://htmldesigntemplates.com/html/yatriiworld/flight-booking.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/flight-booking.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:08	47011/47011	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:31%20GMT	https://htmldesigntemplates.com/html/yatriiworld/index-car.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/index-car.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:08	36681/36681	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:32%20GMT	https://htmldesigntemplates.com/html/yatriiworld/car-list.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/car-list.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:08	36510/36510	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:32%20GMT	https://htmldesigntemplates.com/html/yatriiworld/car-grid.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/car-grid.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:09	36403/36403	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:31%20GMT	https://htmldesigntemplates.com/html/yatriiworld/car-detail.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/car-detail.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:09	27611/27611	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:31%20GMT	https://htmldesigntemplates.com/html/yatriiworld/car-booking.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/car-booking.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:09	50576/50576	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:34%20GMT	https://htmldesigntemplates.com/html/yatriiworld/index-train.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/index-train.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:09	33869/33869	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:55%20GMT	https://htmldesigntemplates.com/html/yatriiworld/train-list.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/train-list.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:10	33846/33846	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:54%20GMT	https://htmldesigntemplates.com/html/yatriiworld/train-grid.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/train-grid.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:10	34909/34909	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:54%20GMT	https://htmldesigntemplates.com/html/yatriiworld/train-detail.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/train-detail.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:10	27620/27620	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:53%20GMT	https://htmldesigntemplates.com/html/yatriiworld/train-booking.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/train-booking.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:11	37767/37767	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:32%20GMT	https://htmldesigntemplates.com/html/yatriiworld/index-hotel.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/index-hotel.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:11	37559/37559	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:29:11%20GMT	https://htmldesigntemplates.com/html/yatriiworld/hotel-list.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/hotel-list.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:11	33362/33362	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:29:10%20GMT	https://htmldesigntemplates.com/html/yatriiworld/hotel-grid.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/hotel-grid.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:11	37348/37348	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:29:10%20GMT	https://htmldesigntemplates.com/html/yatriiworld/hotel-detail.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/hotel-detail.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:12	29462/29462	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:29:09%20GMT	https://htmldesigntemplates.com/html/yatriiworld/hotel-booking.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/hotel-booking.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:12	12512/12512	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:33%20GMT	https://htmldesigntemplates.com/html/yatriiworld/index-search.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/index-search.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:12	31722/31722	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:25%20GMT	https://htmldesigntemplates.com/html/yatriiworld/about.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/about.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:12	28144/28144	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:30%20GMT	https://htmldesigntemplates.com/html/yatriiworld/booking.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/booking.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:12	24277/24277	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:35%20GMT	https://htmldesigntemplates.com/html/yatriiworld/confirmation.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/confirmation.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:13	24426/24426	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:29:08%20GMT	https://htmldesigntemplates.com/html/yatriiworld/gallery.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/gallery.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:13	25499/25499	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:29:09%20GMT	https://htmldesigntemplates.com/html/yatriiworld/gallery1.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/gallery1.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:13	3010/3010	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:25%20GMT	https://htmldesigntemplates.com/html/yatriiworld/404.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/404.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:13	18400/18400	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:24%20GMT	https://htmldesigntemplates.com/html/yatriiworld/404-1.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/404-1.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:14	3164/3164	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:34%20GMT	https://htmldesigntemplates.com/html/yatriiworld/comingsoon.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/comingsoon.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:15	3549/3549	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:34%20GMT	https://htmldesigntemplates.com/html/yatriiworld/comingsoon-1.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/comingsoon-1.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:15	32095/32095	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:51%20GMT	https://htmldesigntemplates.com/html/yatriiworld/shop-grid1.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/shop-grid1.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:15	36586/36586	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:52%20GMT	https://htmldesigntemplates.com/html/yatriiworld/shop-list1.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/shop-list1.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:16	32191/32191	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:51%20GMT	https://htmldesigntemplates.com/html/yatriiworld/shop-detail.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/shop-detail.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:16	24759/24759	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:33%20GMT	https://htmldesigntemplates.com/html/yatriiworld/cart.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/cart.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:16	25161/25161	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:28:34%20GMT	https://htmldesigntemplates.com/html/yatriiworld/checkout.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/checkout.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:16	22704/22704	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:45%20GMT	https://htmldesigntemplates.com/html/yatriiworld/login.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/login.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:16	24709/24709	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:32:56%20GMT	https://htmldesigntemplates.com/html/yatriiworld/wishlist.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/wishlist.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
14:11:17	21289/21289	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2012:29:08%20GMT	https://htmldesigntemplates.com/html/yatriiworld/forgot-password.html	C:/Users/dell/Downloads/travel/htmldesigntemplates.com/html/yatriiworld/forgot-password.html	(from https://htmldesigntemplates.com/html/yatriiworld/index.html)
